"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2020","AirNow","060690002","3","6.8","ug/m3 LC","28","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"01/02/2020","AirNow","060690002","3","5","ug/m3 LC","21","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"01/05/2020","AirNow","060690002","3","6.7","ug/m3 LC","28","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"01/06/2020","AirNow","060690002","3","4.5","ug/m3 LC","19","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"01/07/2020","AirNow","060690002","3","6.6","ug/m3 LC","28","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"01/08/2020","AirNow","060690002","3","5.3","ug/m3 LC","22","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"01/09/2020","AirNow","060690002","3","3.2","ug/m3 LC","13","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"01/10/2020","AirNow","060690002","3","4.6","ug/m3 LC","19","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"01/11/2020","AirNow","060690002","3","6.4","ug/m3 LC","27","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"01/12/2020","AirNow","060690002","3","5.3","ug/m3 LC","22","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"01/13/2020","AirNow","060690002","3","5.9","ug/m3 LC","25","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"01/14/2020","AirNow","060690002","3","4.5","ug/m3 LC","19","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"01/15/2020","AirNow","060690002","3","5.8","ug/m3 LC","24","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"01/16/2020","AirNow","060690002","3","2.6","ug/m3 LC","11","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"01/17/2020","AirNow","060690002","3","3","ug/m3 LC","13","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"01/18/2020","AirNow","060690002","3","4.6","ug/m3 LC","19","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"01/19/2020","AirNow","060690002","3","7.5","ug/m3 LC","31","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"01/20/2020","AirNow","060690002","3","9.2","ug/m3 LC","38","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"01/21/2020","AirNow","060690002","3","5","ug/m3 LC","21","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"01/22/2020","AirNow","060690002","3","3.3","ug/m3 LC","14","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"01/23/2020","AirNow","060690002","3","9.5","ug/m3 LC","40","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
"01/24/2020","AirNow","060690002","3","9.5","ug/m3 LC","40","Hollister","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","069","San Benito","36.8434250009057","-121.3621"
